 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1666,         4.7142,        -0.1620,         4.5522,         2.2115,         1.9707,       148.8091,       198.5722,       178.2256,       261.4005,       274.9261,       456.7571,         2.5815,     83209.8828,     72132.5625
   1667,         3.9652,         0.7978,         4.7630,         2.3532,         2.0375,       149.4751,       198.7409,       178.9191,       260.4618,       274.8325,       456.8075,         2.7255,     83208.1641,     72133.0391
   1668,         4.2465,         0.6395,         4.8860,         2.4153,         2.0521,       150.1699,       198.9157,       179.6364,       259.4675,       274.7332,       456.8579,         2.8338,     83206.3828,     72133.5312
   1669,         3.8970,         1.1457,         5.0428,         2.6576,         2.1420,       150.9831,       199.1148,       180.4496,       258.4414,       274.6302,       456.9043,         2.9008,     83204.6094,     72134.0938
   1670,         3.4173,         1.1100,         4.5273,         2.3745,         1.9733,       151.6522,       199.2857,       181.1486,       257.6743,       274.5494,       456.9209,         2.5540,     83202.9688,     72134.4766
   1671,         4.9069,        -0.4608,         4.4461,         2.2278,         1.8995,       152.2459,       199.4418,       181.7882,       256.9160,       274.4688,       456.9391,         2.5466,     83201.3516,     72134.9062
   1672,         4.8466,        -0.5714,         4.2752,         2.0407,         1.8255,       152.7440,       199.5797,       182.3545,       256.2281,       274.3939,       456.9507,         2.4498,     83199.8047,     72135.2812
   1673,         4.5746,        -0.5051,         4.0695,         1.7538,         1.7230,       153.0977,       199.6899,       182.8092,       255.6072,       274.3240,       456.9586,         2.3464,     83198.3516,     72135.7422
   1674,         4.3538,         0.0095,         4.3633,         2.3004,         2.0007,       153.7226,       199.8554,       183.4844,       254.9766,       274.2525,       456.9671,         2.3626,     83196.8906,     72136.1406
   1675,         4.0388,        -0.2531,         3.7858,         1.5723,         1.6547,       153.9821,       199.9490,       183.8707,       254.5025,       274.1942,       456.9622,         2.1310,     83195.5859,     72136.6406
   1676,         4.6046,        -0.8215,         3.7831,         1.6179,         1.7030,       154.2635,       200.0478,       184.2778,       254.0568,       274.1378,       456.9581,         2.0801,     83194.2734,     72137.1484
   1677,         4.4264,        -0.5042,         3.9222,         1.8511,         1.8546,       154.6606,       200.1707,       184.7808,       253.6143,       274.0811,       456.9560,         2.0676,     83192.9609,     72137.6406
   1678,         3.1289,         1.1676,         4.2965,         2.5370,         2.1744,       155.3983,       200.3627,       185.5593,       253.1364,       274.0204,       456.9568,         2.1220,     83191.6875,     72138.1484
   1679,         4.0702,         0.4550,         4.5252,         2.6571,         2.1824,       156.1934,       200.5671,       186.3860,       252.5122,       273.9456,       456.9699,         2.3429,     83190.2266,     72138.5938
   1680,         4.0837,         0.5498,         4.6335,         2.5298,         2.0974,       156.9222,       200.7541,       187.1438,       251.7863,       273.8634,       456.9790,         2.5361,     83188.6406,     72139.0312
