 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
     97,         0.0209,       -49.4481,         0.0953,         0.0941,         0.0944,        -0.0729,         0.1567,         0.4100
     98,         0.0195,       -51.3155,         0.0953,         0.0940,         0.0944,         0.0083,         0.2200,         0.4617
     99,         0.0136,       -23.5114,         0.0953,         0.0940,         0.0944,         0.0475,         0.2337,         0.4546
    100,         0.0216,        17.6268,         0.0953,         0.0942,         0.0945,         0.0358,         0.2317,         0.4612
    101,         0.0219,        33.1606,         0.0953,         0.0940,         0.0944,         0.1283,         0.2850,         0.4925
    102,         0.0219,        26.9277,         0.0953,         0.0939,         0.0943,         0.3229,         0.3529,         0.4829
    103,         0.0225,        23.4377,         0.0953,         0.0938,         0.0942,         0.9713,         0.6471,         0.5487
    104,         0.0226,        17.8798,         0.0952,         0.0936,         0.0941,         0.8329,         0.6637,         0.6367
    105,         0.0225,        12.3988,         0.0952,         0.0934,         0.0940,         0.4579,         0.5383,         0.6746
    106,         0.0222,        12.1538,         0.0953,         0.0937,         0.0941,         0.1687,         0.3987,         0.6387
    107,         0.0221,        16.9047,         0.0953,         0.0938,         0.0942,         0.1967,         0.3762,         0.5833
    108,         0.0221,        13.9514,         0.0953,         0.0939,         0.0943,         0.2458,         0.3887,         0.5583
    109,         0.0223,        10.4488,         0.0953,         0.0938,         0.0942,         0.7038,         0.5896,         0.5983
    110,         0.0233,         6.9393,         0.0953,         0.0939,         0.0943,         1.5375,         1.0600,         0.7896
    111,         0.0248,         4.1889,         0.0953,         0.0939,         0.0943,         1.8200,         1.3225,         1.0354
    112,         0.0253,         3.1872,         0.0953,         0.0940,         0.0943,         2.6108,         1.8642,         1.3808
    113,         0.0258,        10.6229,         0.0953,         0.0941,         0.0944,         2.6408,         2.0271,         1.6433
    114,         0.0469,        10.2185,         0.0953,         0.0939,         0.0943,         3.5021,         2.5754,         1.9683
    115,         0.0358,        12.9222,         0.0953,         0.0937,         0.0942,         4.9688,         3.6092,         2.6596
    116,         0.0422,        14.3599,         0.0952,         0.0936,         0.0941,         5.3292,         4.2217,         3.4142
    117,         0.0413,        12.2890,         0.0953,         0.0938,         0.0942,         3.3525,         3.3888,         3.4104
    118,         0.0538,        15.4859,         0.0953,         0.0936,         0.0941,         3.9567,         3.2896,         2.8729
    119,         0.0658,        10.4640,         0.0952,         0.0933,         0.0939,         5.4621,         4.2692,         3.3867
    120,         0.0505,        18.1556,         0.0953,         0.0936,         0.0941,         6.0646,         4.9946,         4.1325
    121,         0.0431,        25.4537,         0.0953,         0.0937,         0.0942,         4.0954,         4.0271,         3.9425
    122,         0.0421,        20.4156,         0.0953,         0.0936,         0.0941,         3.4796,         3.4213,         3.3612
    123,         0.0645,        15.0083,         0.0953,         0.0935,         0.0940,         4.7004,         4.0500,         3.5412
    124,         0.0592,        10.0546,         0.0953,         0.0934,         0.0939,         5.9658,         4.9183,         4.1050
    125,         0.0506,        14.3044,         0.0953,         0.0937,         0.0941,         6.3842,         5.5008,         4.7587
    126,         0.0688,        14.8950,         0.0953,         0.0935,         0.0940,         6.0004,         5.1354,         4.5308
    127,         0.0618,        10.0273,         0.0953,         0.0935,         0.0940,         8.2667,         6.6204,         5.3412
    128,         0.0747,         6.2354,         0.0953,         0.0936,         0.0941,         8.8642,         7.2083,         5.9433
    129,         0.0708,         5.0119,         0.0953,         0.0937,         0.0941,         9.3279,         7.7667,         6.5117
    130,         0.0880,         2.7442,         0.0953,         0.0937,         0.0941,         9.7188,         8.0333,         6.7342
    131,         0.1458,        -7.2537,         0.0953,         0.0936,         0.0941,        11.2417,         8.9442,         7.1825
    132,         0.0917,       -25.3834,         0.0952,         0.0935,         0.0940,        11.4025,         9.5596,         7.9804
    133,         0.0483,       -33.6079,         0.0953,         0.0937,         0.0941,         9.6829,         8.9029,         8.1175
    134,         0.0659,       -38.6769,         0.0952,         0.0933,         0.0939,         8.9337,         8.4113,         7.8637
    135,         0.0815,       -47.8835,         0.0952,         0.0930,         0.0937,         9.0513,         8.3617,         7.6525
    136,         0.0691,       -54.6145,         0.0952,         0.0929,         0.0936,         9.5025,         8.6304,         7.7729
    137,         0.0833,       -60.0840,         0.0926,         0.0928,         0.0936,        10.2842,         9.1692,         8.1096
    138,         0.0369,       -65.2464,         0.0898,         0.0928,         0.0935,        10.3675,         9.3112,         8.3417
    139,         0.0491,       -69.1701,         0.0875,         0.0929,         0.0936,        12.7213,        10.5925,         8.8054
    140,         0.0483,       -71.8031,         0.0859,         0.0931,         0.0937,        12.9429,        10.9979,         9.3567
    141,         0.0375,       -63.1598,         0.0953,         0.0935,         0.0940,        12.9383,        11.2783,         9.8088
    142,         0.0442,       -47.5594,         0.0953,         0.0936,         0.0940,        12.8800,        11.2642,         9.8842
    143,         0.0531,       -38.3954,         0.0953,         0.0938,         0.0941,        13.1704,        11.6242,        10.2146
    144,         0.0640,       -41.1529,         0.0953,         0.0938,         0.0942,        11.5712,        10.9421,        10.2225
    145,         0.0985,       -46.5730,         0.0952,         0.0933,         0.0939,        10.8650,        10.4238,         9.8692
    146,         0.0810,       -53.5527,         0.0952,         0.0931,         0.0938,        10.7688,        10.3487,         9.7729
    147,         0.0473,       -56.8455,         0.0952,         0.0932,         0.0938,        10.2013,        10.0613,         9.6954
    148,         0.0533,       -39.3790,         0.0953,         0.0935,         0.0939,        11.2125,        10.4075,         9.5875
    149,         0.0761,       -37.1942,         0.0953,         0.0935,         0.0940,        11.8083,        10.7358,         9.7304
    150,         0.0628,       -38.2919,         0.0953,         0.0938,         0.0941,        12.3154,        11.1713,        10.0804
    151,         0.0867,       -22.8163,         0.0953,         0.0938,         0.0941,        13.4179,        11.7429,        10.2837
    152,         0.0975,       -23.0792,         0.0953,         0.0936,         0.0940,        12.1308,        11.3367,        10.5188
    153,         0.0911,       -34.5793,         0.0952,         0.0933,         0.0939,        11.4904,        10.9563,        10.3687
    154,         0.1007,       -41.1854,         0.0953,         0.0936,         0.0940,        13.8029,        12.0213,        10.5079
    155,         0.0870,       -44.8491,         0.0953,         0.0934,         0.0940,        13.5612,        12.1667,        10.8825
    156,         0.0970,       -50.1499,         0.0953,         0.0933,         0.0939,        13.3954,        12.1746,        11.0721
    157,         0.1052,       -54.4711,         0.0952,         0.0932,         0.0938,        16.1083,        13.5675,        11.5017
    158,         0.0622,       -55.3596,         0.0949,         0.0932,         0.0938,        16.7783,        14.2913,        12.2175
    159,         0.0508,       -58.1154,         0.0935,         0.0934,         0.0939,        14.7767,        13.7050,        12.6117
    160,         0.0774,       -60.7739,         0.0917,         0.0933,         0.0939,        13.6325,        12.9771,        12.2812
    161,         0.0840,       -64.1219,         0.0900,         0.0933,         0.0939,        13.6158,        12.8575,        12.0350
    162,         0.0727,       -67.0513,         0.0882,         0.0932,         0.0938,        13.4758,        12.7504,        11.9421
    163,         0.0745,       -69.9391,         0.0865,         0.0933,         0.0938,        13.1608,        12.5387,        11.8375
    164,         0.0720,       -72.3922,         0.0850,         0.0932,         0.0938,        13.3329,        12.6046,        11.8208
    165,         0.0922,       -75.2593,         0.0827,         0.0930,         0.0937,        14.8296,        13.2646,        11.9121
    166,         0.0383,       -65.5555,         0.0952,         0.0935,         0.0939,        14.0817,        13.1692,        12.2179
    167,         0.0529,       -55.8887,         0.0944,         0.0937,         0.0941,        14.1562,        13.1229,        12.1629
    168,         0.0868,       -56.0633,         0.0953,         0.0937,         0.0941,        14.4242,        13.2312,        12.1542
    169,         0.0546,       -44.7532,         0.0953,         0.0939,         0.0942,        14.6900,        13.5096,        12.3921
    170,         0.0827,       -38.1984,         0.0953,         0.0940,         0.0943,        14.6387,        13.5079,        12.4650
    171,         0.1058,       -41.5164,         0.0953,         0.0940,         0.0943,        14.4437,        13.4517,        12.4867
    172,         0.0971,       -26.5601,         0.0953,         0.0939,         0.0943,        13.7642,        13.1546,        12.4717
    173,         0.1215,        16.3548,         0.0953,         0.0941,         0.0944,        13.8917,        13.2037,        12.4646
    174,         0.1174,        21.9003,         0.0953,         0.0941,         0.0944,        13.2771,        12.8488,        12.3117
    175,         0.1391,        17.9121,         0.0953,         0.0938,         0.0942,        13.4733,        12.7979,        12.1117
    176,         0.1856,        12.9386,         0.0953,         0.0936,         0.0941,        15.2588,        13.7454,        12.4025
    177,         0.1503,        10.1312,         0.0953,         0.0938,         0.0942,        15.1304,        13.9208,        12.8054
    178,         0.1374,        46.9610,         0.0953,         0.0939,         0.0943,        15.0596,        14.1133,        13.1704
    179,         0.1356,        54.9703,         0.0953,         0.0936,         0.0941,        14.6129,        13.7921,        13.0062
