 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8840,         0.1739,         0.3026,         0.4765,       150.0666,       477.1062,        78.3473,     80787.2656,       201.8733,       350.3701,    154165.6250,       111.0000,       257.3660,         0.0000,         0.4693,         0.0072
   8841,         0.2652,         0.1577,         0.4229,       149.6718,       477.1267,        78.2827,     80786.9844,       201.6117,       350.7419,    154165.3438,       111.0000,       257.4031,         0.0000,         0.4223,         0.0006
   8842,         0.2067,         0.2696,         0.4763,       149.2780,       477.1525,        78.2137,     80786.7969,       201.3326,       351.0893,    154165.1875,       111.0000,       257.4411,         0.0000,         0.4758,         0.0005
   8843,         0.3883,         0.0955,         0.4838,       148.8853,       477.1792,        78.1445,     80786.6094,       201.0529,       351.4311,    154165.0312,       111.0000,       257.4789,         0.0000,         0.4813,         0.0026
   8844,         0.4579,         0.0287,         0.4866,       148.4935,       477.2064,        78.0754,     80786.4219,       200.7735,       351.7693,    154164.8750,       111.0000,       257.5167,         0.0000,         0.4835,         0.0031
   8845,         0.6417,        -0.1491,         0.4926,       148.1028,       477.2340,        78.0064,     80786.2344,       200.4945,       352.1046,    154164.7188,       111.0000,       257.5544,         0.0000,         0.4852,         0.0074
   8846,         1.5016,        -0.9722,         0.5295,       147.7182,       477.2625,        77.9383,     80786.0469,       200.2200,       352.4348,    154164.5625,       111.0000,       257.5918,         0.0101,         0.4887,         0.0408
   8847,         1.7199,        -1.1238,         0.5962,       147.3462,       477.2908,        77.8727,     80785.8594,       199.9552,       352.7641,    154164.3906,       111.0000,       257.6293,         0.0333,         0.4881,         0.1080
   8848,         0.8595,        -0.2865,         0.5730,       146.9585,       477.3190,        77.8039,     80785.6719,       199.6774,       353.0945,    154164.2344,       111.0000,       257.6669,         0.0000,         0.4857,         0.0873
   8849,         1.3740,        -0.7698,         0.6042,       146.5810,       477.3477,        77.7369,     80785.4844,       199.4073,       353.4212,    154164.0781,       111.0000,       257.7043,         0.0182,         0.4880,         0.1162
   8850,         1.4852,        -0.8459,         0.6393,       146.2137,       477.3771,        77.6718,     80785.2969,       199.1450,       353.7421,    154163.9062,       111.0000,       257.7415,         0.0368,         0.4923,         0.1470
   8851,         1.1190,        -0.4710,         0.6480,       145.8294,       477.4069,        77.6032,     80785.1094,       198.8687,       354.0594,    154163.7500,       111.0000,       257.7787,         0.0007,         0.4949,         0.1531
   8852,         1.3951,        -0.7203,         0.6748,       145.4573,       477.4378,        77.5369,     80784.9219,       198.6017,       354.3709,    154163.5938,       111.0000,       257.8156,         0.0233,         0.4990,         0.1758
   8853,         1.6733,        -0.9507,         0.7226,       145.1015,       477.4701,        77.4737,     80784.7344,       198.3474,       354.6722,    154163.4375,       111.0000,       257.8519,         0.0539,         0.5092,         0.2134
   8854,         1.5106,        -0.7815,         0.7291,       144.7471,       477.5023,        77.4108,     80784.5469,       198.0941,       354.9737,    154163.2812,       111.0000,       257.8879,         0.0548,         0.5076,         0.2215
   8855,         1.0344,        -0.3617,         0.6727,       144.3663,       477.5344,        77.3429,     80784.3594,       197.8212,       355.2749,    154163.1250,       111.0000,       257.9236,         0.0000,         0.5038,         0.1689
   8856,         1.1099,        -0.4495,         0.6603,       143.9865,       477.5664,        77.2756,     80784.1719,       197.5509,       355.5743,    154162.9844,       111.0000,       257.9590,         0.0000,         0.5007,         0.1597
   8857,         1.4848,        -0.7833,         0.7015,       143.6317,       477.5991,        77.2138,     80783.9844,       197.3026,       355.8694,    154162.8281,       111.0000,       257.9938,         0.0481,         0.4996,         0.2019
   8858,         2.2777,        -1.4489,         0.8288,       143.3290,       477.6352,        77.1629,     80783.7969,       197.0981,       356.1413,    154162.6719,       111.0000,       258.0268,         0.1506,         0.5222,         0.3066
   8859,         1.9777,        -1.1076,         0.8702,       143.0363,       477.6721,        77.1143,     80783.6094,       196.9028,       356.4042,    154162.5312,       111.0000,       258.0591,         0.1690,         0.5284,         0.3418
