 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   8892,         4.1324,        -1.5037,         2.6287,         2.8499,         1.5852,       182.8477,        76.1988,       193.2610,       361.6190,       258.8658,       479.4304,         1.0435,     80772.4766,     72904.5312
   8893,         3.2507,        -0.4684,         2.7824,         2.5600,         1.7210,       184.4676,        76.2265,       193.3727,       361.5848,       258.8732,       479.5105,         1.0614,     80771.8750,     72904.7188
   8894,         3.2705,        -0.3712,         2.8994,         2.5583,         1.8294,       186.0545,        76.2604,       193.5093,       361.5439,       258.8794,       479.5916,         1.0700,     80771.2812,     72904.9062
   8895,         4.2614,        -1.2223,         3.0391,         2.7152,         1.8929,       187.7329,        76.3071,       193.6970,       361.4417,       258.8813,       479.6837,         1.1462,     80770.6406,     72905.0938
   8896,         1.7421,         1.0895,         2.8316,         1.2097,         1.6785,       187.8434,        76.3651,       193.9297,       361.3431,       258.8840,       479.7726,         1.1531,     80769.9844,     72905.2812
   8897,         1.6084,         0.8770,         2.4854,         0.5276,         1.2675,       187.6126,        76.3533,       193.8827,       361.2014,       258.8849,       479.8669,         1.2179,     80769.2344,     72905.4688
   8898,         2.5785,        -0.0534,         2.5251,         0.6317,         1.3398,       187.4345,        76.3520,       193.8781,       361.0880,       258.8875,       479.9547,         1.1854,     80768.5703,     72905.6797
   8899,         2.6207,        -0.0733,         2.5474,         0.8410,         1.4663,       187.3615,        76.3723,       193.9602,       361.0592,       258.8947,       480.0273,         1.0811,     80767.9453,     72905.8672
   8900,         1.1735,         0.8780,         2.0516,         0.0000,         1.0348,       186.8686,        76.3086,       193.7059,       361.0816,       258.9049,       480.0911,         1.0168,     80767.3828,     72906.0547
   8901,         0.7845,         1.3148,         2.0993,         0.0000,         1.0254,       186.3769,        76.2414,       193.4378,       361.0685,       258.9152,       480.1614,         1.0739,     80766.8203,     72906.2422
   8902,         1.7230,         0.4399,         2.1629,         0.0616,         1.0571,       185.9173,        76.1801,       193.1938,       361.0256,       258.9237,       480.2379,         1.1058,     80766.2344,     72906.4297
